taken_at,Date,event_id,starts,League,Player1,Player2,PS1,PS2
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637208820,2026-09-23 19:00:00+00:00,ATP Challenger Buenos Aires - R16,Nicolas Kicker,Hugo Dellien,4.1,1.25
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637208845,2026-09-24 13:30:00+00:00,WTA 125K Porto - R16,Valentina Steiner,Katie Swan,5.03,1.1779
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637208856,2026-09-24 08:00:00+00:00,ATP Challenger St Tropez - R16,Matteo Martineau,Daniel Masur,2.04,1.8264
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637208864,2026-09-24 08:00:00+00:00,ATP Challenger Genoa - R16,Francesco Forti,Alejandro Juan Mano,1.3774,3.1
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637208870,2026-09-23 19:00:00+00:00,WTA 125k Tolentino - R16,Noemi Basiletti,Mia Ristic,2.16,1.7246
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637208871,2026-09-24 10:00:00+00:00,WTA 125K Porto - R16,Veronika Podrez,Mia Pohankova,3.05,1.3891
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637208897,2026-09-23 22:30:00+00:00,ITF Women Belem - R1,Fernanda Regalado Macias,Gabriela Guapindaia Soares,1.5714,2.38
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637209808,2026-09-24 08:00:00+00:00,ATP Challenger St Tropez - R16,Edas Butvilas,Harold Mayot,1.7299,2.17
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637209858,2026-09-24 09:00:00+00:00,WTA 125k Tolentino - R16,Alice Tubello,Julia Grabher,2.28,1.641
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637209859,2026-09-23 19:30:00+00:00,ATP Challenger San Diego - R16,Trevor Svajda,Federico Agustin Gomez,1.4,3.04
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637209884,2026-09-23 18:00:00+00:00,ITF Men Curitiba - R1,Joao Vitor Goncalves Ceolin,Eric Martins,1.031,15.99
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637215377,2026-09-23 19:00:00+00:00,ATP Challenger San Diego - R16,Patrick Maloney,Igor Marcondes,2.11,1.7576
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637215430,2026-09-23 19:00:00+00:00,ATP Challenger San Diego - R16,Henry Searle,Liam Draxl,2.28,1.6536
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637215458,2026-09-23 18:00:00+00:00,ITF Women Berkeley - R1,Emma Kamper Malmkjaer,Anastasia Abbagnato,1.6494,2.26
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637215459,2026-09-23 19:30:00+00:00,ITF Women Berkeley - R1,Alina Shcherbinina,Valeriya Strakhova,1.1812,4.98
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637215461,2026-09-23 19:30:00+00:00,ITF Women Berkeley - R1,Carson Branstine,Whitney Osuigwe,1.6494,2.27
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637215465,2026-09-24 15:30:00+00:00,WTA 125k Tolentino - R16,Samira De Stefano,Oksana Selekhmeteva,1.8621,1.9615
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637215613,2026-09-23 19:30:00+00:00,ITF Women Berkeley - R1,Ella McDonald,Katherine Hui,1.4386,2.84
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637215614,2026-09-23 19:30:00+00:00,ITF Women Berkeley - R1,Kayla Day,Arina Bulatova,1.038,13.94
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637215618,2026-09-24 09:00:00+00:00,WTA 125K Ankara - R16,Teodora Kostovic,Elena Ruxandra Bertea,1.1949,4.74
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637218344,2026-09-23 19:00:00+00:00,ATP Challenger San Diego - R16,Tristan Boyer,Sebastian Gorzny,1.5988,2.39
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637218362,2026-09-23 18:00:00+00:00,ITF Women Berkeley - R1,Yaroslava Bartashevich,Sofia Elena Cabezas Dominguez,2.43,1.5747
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637218365,2026-09-23 18:00:00+00:00,ITF Women Berkeley - R1,Martina Okalova,Savannah Broadus,6.01,1.1361
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637218366,2026-09-24 09:00:00+00:00,WTA 125K Ankara - R16,Fangran Tian,Elena Micic,1.5714,2.44
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637218367,2026-09-24 09:00:00+00:00,WTA 125K Ankara - R16,Carole Monnet,Anastasia Gasanova,2.93,1.4132
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637218369,2026-09-24 12:00:00+00:00,WTA 125k Tolentino - R16,Ekaterine Gorgodze,Barbora Palicova,2.75,1.4608
2026-09-23 17:56:54.849040+00:00,2026-09-23,1637218411,2026-09-23 18:00:00+00:00,ITF Men Columbia - R1,William Jansen,Seydina Andre,1.3636,3.18
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637218414,2026-09-24 01:00:00+00:00,ITF Women Nanao - R16,Jia-Jing Lu,Tiana Tian Deng,1.3333,3.16
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637218415,2026-09-24 01:00:00+00:00,ITF Women Nanao - R16,Rion Itaya,Kurea Hayasaka,6.13,1.111
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637218433,2026-09-24 05:00:00+00:00,ATP Hangzhou - R1,Dane Sweeny,Taro Daniel,2.45,1.5988
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637218435,2026-09-24 09:30:00+00:00,ATP Hangzhou - R1,Fajing Sun,Roman Safiullin,5.11,1.1931
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637218436,2026-09-24 06:30:00+00:00,ATP Hangzhou - R1,Fabian Marozsan,Alex Bolt,1.2976,3.79
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637220980,2026-09-24 02:00:00+00:00,ITF Women Nanao - R16,Kurumi Tamura,Michika Ozeki,2.27,1.6024
2026-09-23 17:56:54.849040+00:00,2026-09-24,1637220989,2026-09-24 06:30:00+00:00,ATP Hangzhou - R1,Rinky Hijikata,Dalibor Svrcina,2.36,1.6369
